ccode,startyear,caseList,durationMons,VicSide3,Const,rgdpna,polity2,tpop,milper,relfrac,ethfrac,lmtnest,sos,coup,Oil,rebInt,govInt,Incomp
150,1954,Military faction (forces of Alfredo Stroessner),0,2,1,0.693546099341922,-9,7.32974968904151,1.79175946922806,0.180000007152557,0.144922375679016,0.741937339305878,0,1,0,0,0,1
150,1989,Military faction (forces of Andres Rodriguez),0,2,1,1.41786183516249,2,8.31605572036464,2.77258872223978,0.180000007152557,0.144922375679016,0.741937339305878,0,1,0,0,0,1
155,1973,"Military faction (forces of Augusto Pinochet, Toribio Merino and Leigh Guzman) ",0,2,1,1.53925946867352,-7,9.21233837463886,4.31748811353631,0.195800006389618,0.140437066555023,4.07073450088501,0,1,0,0,0,1
160,1955,Military faction (forces of Eduardo A. Lonardi Doucet),3,2,1,1.78991947619659,-6,9.84839758621817,4.99721227376412,0.151199996471405,0.307319164276123,3.38099455833435,0,1,0,0,0,1
160,1963,Military faction (colorados),5,2,1,1.8393177976374,-1,9.98118906019998,5.04342511691925,0.151199996471405,0.307319164276123,3.38099455833435,0,1,0,0,0,1
160,1974,ERP,40,2,1,2.17818672136432,6,10.1514407827589,5.01063529409626,0.151199996471405,0.307319164276123,3.38099455833435,0,0,0,0,0,1
160,1975,Montoneros,26,2,1,2.15594469002326,6,10.1677346587288,5.07517381523383,0.151199996471405,0.307319164276123,3.38099455833435,0,0,0,0,0,1
165,1972,MLN/Tupamaros,8,0,1,1.63390359943449,-3,7.94449216393216,2.99573227355399,0.350799977779388,0.198162496089935,0,0,0,0,0,0,1
200,1971,PIRA,244,0,1,2.70604679143021,10,10.9318204281918,5.91350300563827,0.61379998922348,0.325454533100128,0.587786674499512,0,0,0,0,0,0
200,1998,RIRA,0,1,1,3.27542064202661,10,10.9793258036379,5.38449506278909,0.61379998922348,0.325454533100128,0.587786674499512,0,0,0,0,0,0
220,1961,OAS,14,0,1,2.29914886774363,5,10.7399338904046,6.5792512120101,0.185800015926361,0.261046767234802,2.44234704971314,0,0,0,0,0,1
230,1978,ETA,50,0,1,2.68619607716299,9,10.5125735454696,5.91889385427315,0.0774000287055969,0.435880899429321,3.11794996261597,0,0,0,0,0,0
230,1985,ETA,24,0,1,2.73254074412719,10,10.5577379674661,5.74939298590825,0.0774000287055969,0.435880899429321,3.11794996261597,0,0,0,0,0,0
230,1991,ETA,18,0,1,2.96610509433579,10,10.5692635362999,5.50533153593236,0.0774000287055969,0.435880899429321,3.11794996261597,0,0,0,0,0,0
343,2001,UCK,3,1,1,1.82317591935166,6,7.6182510978767,2.77258872223978,0.460200011730194,0.509563505649567,2.23720026016235,0,0,0,0,0,1
344,1992,Serbian irregulars,5,0,1,2.24073326032473,-3,8.40514368760761,4.63472898822964,0.382799983024597,0.334221005439758,1.52806544303894,0,0,0,1,0,0
344,1992,Serbian Republic of Krajina,19,1,1,2.24073326032473,-3,8.40514368760761,4.63472898822964,0.382799983024597,0.334221005439758,1.52806544303894,0,0,0,1,0,0
344,1995,Serbian Republic of Krajina,6,1,1,2.23666479491077,-5,8.44870019497094,4.0943445622221,0.382799983024597,0.334221005439758,1.52806544303894,0,0,0,0,0,0
345,1991,Republic of Slovenia,1,1,1,1.23291401733394,-5,10.0829299685792,5.12989871492307,0.641799986362457,0.753812432289124,2.66722822189331,0,0,0,0,0,0
345,1991,Republic of Croatia,5,0,1,1.23291401733394,-5,10.0829299685792,5.12989871492307,0.641799986362457,0.753812432289124,2.66722822189331,0,0,0,0,0,0
